subjectID,sessionID,sessionDate,sessionStart,sessionEnd,sessionDuration,phubbsWhileSession,phubbs
ej15,,17/04/2024,18:19:04,21:42:47,3:23:43,9,"['0:00:16', '0:00:04', '0:00:22', '0:00:41', '0:00:07', '0:00:15', '0:00:46', '0:00:31', '0:00:22']"
ej15,,17/04/2024,21:54:29,23:24:44,1:30:15,0,[]
ej15,,18/04/2024,08:30:27,10:44:01,2:13:34,6,"['0:00:04', '0:00:28', '0:00:05', '0:00:06', '0:00:29', '0:01:09']"
ej15,,18/04/2024,11:00:37,11:11:42,0:11:05,0,[]
ej15,,18/04/2024,11:54:57,11:57:30,0:02:33,0,[]
ej15,,18/04/2024,12:32:55,14:02:06,1:29:11,1,['0:00:04']
ej15,,18/04/2024,14:14:57,14:24:50,0:09:53,0,[]
ej15,,18/04/2024,15:10:45,15:27:00,0:16:15,0,[]
ej15,,18/04/2024,15:44:50,17:14:46,1:29:56,0,[]
ej15,,18/04/2024,18:03:46,18:14:49,0:11:03,0,[]
ej15,,18/04/2024,18:19:19,18:34:39,0:15:20,0,[]
ej15,,18/04/2024,19:39:37,19:51:31,0:11:54,0,[]
ej15,,19/04/2024,08:51:59,09:19:52,0:27:53,3,"['0:00:40', '0:00:02', '0:00:04']"
ej15,,19/04/2024,15:00:23,16:07:50,1:07:27,0,[]
ej15,,19/04/2024,20:12:44,23:10:07,2:57:23,2,"['0:00:08', '0:00:02']"
ej15,,20/04/2024,09:25:05,10:52:01,1:26:56,4,"['0:00:02', '0:00:04', '0:01:41', '0:01:11']"
ej15,,20/04/2024,12:41:46,13:31:49,0:50:03,0,[]
ej15,,21/04/2024,09:18:02,10:18:24,1:00:22,1,['0:00:02']
ej15,,21/04/2024,10:26:40,11:15:54,0:49:14,0,[]
ej15,,21/04/2024,15:17:34,18:41:36,3:24:02,0,[]
ej15,,21/04/2024,19:49:59,23:37:21,3:47:22,0,[]
ej15,,22/04/2024,08:38:18,09:22:58,0:44:40,2,"['0:03:21', '0:00:04']"
ej15,,22/04/2024,14:40:16,18:14:34,3:34:18,3,"['0:00:28', '0:10:27', '0:00:26']"
ej15,,22/04/2024,19:21:45,23:19:23,3:57:38,1,['0:01:17']
ej15,,23/04/2024,08:30:54,10:21:01,1:50:07,5,"['0:03:28', '0:01:17', '0:05:34', '0:08:05', '0:00:17']"
ej15,,23/04/2024,16:24:26,21:35:16,5:10:50,6,"['0:01:15', '0:01:06', '0:00:57', '0:01:45', '0:07:46', '0:01:32']"
ej15,,23/04/2024,21:45:43,22:12:38,0:26:55,0,[]
ej15,,23/04/2024,22:44:37,22:45:19,0:00:42,0,[]
ej15,,23/04/2024,23:38:16,23:39:19,0:01:03,0,[]
ej15,,24/04/2024,07:44:39,08:04:25,0:19:46,0,[]
ej15,,24/04/2024,08:12:13,10:09:43,1:57:30,1,['0:00:05']
ej15,,24/04/2024,10:27:30,13:30:56,3:03:26,0,[]
ej15,,24/04/2024,16:40:27,17:24:35,0:44:08,0,[]
ej15,,24/04/2024,17:40:54,18:51:38,1:10:44,0,[]
ej15,,24/04/2024,22:31:14,22:59:40,0:28:26,0,[]
ej15,,25/04/2024,08:03:28,09:02:11,0:58:43,6,"['0:01:16', '0:01:22', '0:02:56', '0:05:08', '0:00:11', '0:00:03']"
ej15,,25/04/2024,09:09:39,09:32:22,0:22:43,0,[]
ej15,,25/04/2024,17:26:09,18:43:20,1:17:11,5,"['0:00:13', '0:01:02', '0:05:06', '0:00:03', '0:00:30']"
ej15,,25/04/2024,18:58:41,19:14:00,0:15:19,0,[]
ej15,,25/04/2024,19:26:06,21:14:12,1:48:06,2,"['0:05:35', '0:01:22']"
