dateEndOfInteraction,dateStartOfInteraction,endOfInteraction,startOfInteraction,subjectID,ID
17/04/2024,17/04/2024,01:35:20,01:27:01,ej15,
17/04/2024,17/04/2024,02:41:29,02:10:36,ej15,
17/04/2024,17/04/2024,03:40:33,02:54:45,ej15,
17/04/2024,17/04/2024,04:24:45,04:14:43,ej15,
17/04/2024,17/04/2024,04:54:43,04:34:00,ej15,
17/04/2024,17/04/2024,06:17:30,06:13:23,ej15,
17/04/2024,17/04/2024,07:32:37,07:00:01,ej15,
17/04/2024,17/04/2024,08:51:24,08:12:07,ej15,
17/04/2024,17/04/2024,17:56:25,15:51:50,ej15,
17/04/2024,17/04/2024,21:42:47,18:19:04,ej15,
17/04/2024,17/04/2024,23:24:44,21:54:29,ej15,
18/04/2024,18/04/2024,10:44:01,08:30:27,ej15,
18/04/2024,18/04/2024,11:11:42,11:00:37,ej15,
18/04/2024,18/04/2024,11:57:30,11:54:57,ej15,
18/04/2024,18/04/2024,14:02:06,12:32:55,ej15,
18/04/2024,18/04/2024,14:24:50,14:14:57,ej15,
18/04/2024,18/04/2024,15:27:00,15:10:45,ej15,
18/04/2024,18/04/2024,17:14:46,15:44:50,ej15,
18/04/2024,18/04/2024,18:14:49,18:03:46,ej15,
18/04/2024,18/04/2024,18:34:39,18:19:19,ej15,
18/04/2024,18/04/2024,19:51:31,19:39:37,ej15,
19/04/2024,19/04/2024,09:19:52,08:51:59,ej15,
19/04/2024,19/04/2024,16:07:50,15:00:23,ej15,
19/04/2024,19/04/2024,23:10:07,20:12:44,ej15,
20/04/2024,20/04/2024,10:52:01,09:25:05,ej15,
20/04/2024,20/04/2024,13:31:49,12:41:46,ej15,
21/04/2024,21/04/2024,10:18:24,09:18:02,ej15,
21/04/2024,21/04/2024,11:15:54,10:26:40,ej15,
21/04/2024,21/04/2024,18:41:36,15:17:34,ej15,
21/04/2024,21/04/2024,23:37:21,19:49:59,ej15,
22/04/2024,22/04/2024,09:22:58,08:38:18,ej15,
22/04/2024,22/04/2024,18:14:34,14:40:16,ej15,
22/04/2024,22/04/2024,23:19:23,19:21:45,ej15,
23/04/2024,23/04/2024,10:21:01,08:30:54,ej15,
23/04/2024,23/04/2024,21:35:16,16:24:26,ej15,
23/04/2024,23/04/2024,22:12:38,21:45:43,ej15,
23/04/2024,23/04/2024,22:45:19,22:44:37,ej15,
23/04/2024,23/04/2024,23:39:19,23:38:16,ej15,
24/04/2024,24/04/2024,08:04:25,07:44:39,ej15,
24/04/2024,24/04/2024,10:09:43,08:12:13,ej15,
24/04/2024,24/04/2024,13:30:56,10:27:30,ej15,
24/04/2024,24/04/2024,17:24:35,16:40:27,ej15,
24/04/2024,24/04/2024,18:51:38,17:40:54,ej15,
24/04/2024,24/04/2024,22:59:40,22:31:14,ej15,
25/04/2024,25/04/2024,09:02:11,08:03:28,ej15,
25/04/2024,25/04/2024,09:32:22,09:09:39,ej15,
